identifier,name,thumbnail,description,mimetype,url,media,agegroup,domain,curriculargoal,competencies,language,category,sourceorg,audience,keywords,status,learningoutcomes,createdon,lastupdatedon
do_313292412551077888138265,प्रस्तावना उंच – ठेंगणा,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412551077888138265/artifact/do_313292412551077888138265_1622608954472_ma_s01_math_ch_42_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyae5swpumo5tywz5phz5vrxckoamq7qvuhqcyvcptduasq/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292412382986240138260,प्रस्तावना आकृतीबंध,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412382986240138260/artifact/do_313292412382986240138260_1622608934190_ma_s01_math_ch_37_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyag6v6o7l65rglg6it2isbjr2jfcqw4umm2c4jbf3daema/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_312585423836553216115801,५१ ते ६० ची ओळख व लेखन,https://obj.diksha.gov.in/ntp-content-production/content/do_312585423836553216115801/artifact/1st-math-mar.thumb.png,,video/x-youtube,https://www.youtube.com/embed/v0jaKUz4wKA?autoplay=1&enablejsapi=1,"[{""mimetype"":""text/html; charset=utf-8"",""url"":""https://www.youtube.com/embed/v0jaKUz4wKA?autoplay=1&enablejsapi=1""}]",3-6,,,,Marathi,Activity,,{Teacher},{Mathematical},Live,,NOW(),
do_313292412745973760138272,प्रस्तावना कशानंतर काय?,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412745973760138272/artifact/do_313292412745973760138272_1622608978386_ma_s01_math_ch_48_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyax7ixsir6ueuh5aw4ham4ovelaumoznogtrmrca6374oq/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292412213493760138254,प्रस्तावना ८१ ते ९० ची ओळख व लेखन,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412213493760138254/artifact/do_313292412213493760138254_1622608913385_ma_s01_math_ch_32_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyawlaemwjaa2cftzw6kq2y7w4vlfnh24ucozueamsvjeda/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_31289561354589798415350,मागे - पुढे,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561354589798415350/1xsnzowmdjwkp_yerhhv0kde1nwjoof9-.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561354589798415350/1dmmq1-xxptvrfmpag1yw6iffywpm3y9-.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyao2ny4ocugug7ie3bood7r5qzvom34pdrqslcwimohhja/master.m3u8""}]",3-6,,,,Marathi,Activity,Balbharati undefined,{Teacher},{Mathematical},Live,,NOW(),
do_3138635588880629761403,बेरीज,https://obj.diksha.gov.in/ntp-content-production/content/do_3138635588880629761403/artifact/do_3138014757627330561419_1684750460327_pahili-math.thumb.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_3138635588880629761403/beriij.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyakqdbbxqls3a3vrlvgpxfw6u66bb2py6etbli6zsx3tiq/master.m3u8""}]",3-6,,,,Marathi,Activity,Prabhakar Panchal,{Teacher},{Mathematical},Live,,NOW(),
do_313292412182224896138253,प्रस्तावना ७१ ते ८० ची ओळख व लेखन,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412182224896138253/artifact/do_313292412182224896138253_1622608909523_ma_s01_math_ch_31_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya3gw4jpddmzt6s6eensimqo6yt6y6qj6dwksd5u76jlzq/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_313292412612493312138267,प्रस्तावना जड – हलका,,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/do_313292412612493312138267/artifact/do_313292412612493312138267_1622608962435_ma_s01_math_ch_44_01.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhya43vaur7i7jbqrq6j3vsw42vj5rw5ccxbtdbgtm4mgeaq/master.m3u8""}]",3-6,,,,Marathi,Activity,Sushant Humane,{Teacher},{Mathematical},Live,,NOW(),
do_31289561418104012811466,लांब - आखूड,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561418104012811466/1xsnzowmdjwkp_yerhhv0kde1nwjoof9-.jpg,,video/mp4,https://obj.diksha.gov.in/ntp-content-production/content/assets/do_31289561418104012811466/1tnljimapzhkmf1tvn_r7kwnsqswrxu16.mp4,"[{""mimetype"":""application/x-mpegurl"",""url"":""https://mibm2gd4gvfa5jjuaizursbvvi.apigateway.ap-mumbai-1.oci.customer-oci.com/ocid1.mediaasset.oc1.ap-mumbai-1.amaaaaaadut4dhyafyjwf3cnqve2f3ivxmljxo2tj4szfwzhdun4acywi26a/master.m3u8""}]",3-6,,,,Marathi,Activity,Balbharati undefined,{Teacher},{Mathematical},Live,,NOW(),
